"chuyen","km","se7","se5","se3","se1"
"Hà Nội","0","06:10","15:30","19:20","22:00"
"Phủ Lý","56","07:14","16:34","20:24","23:03"
"Nam Định","87","07:53","17:14","21:03","23:38"
"Ninh Bình","115","08:30","17:51","21:39","00:13"
"Bỉm Sơn","141","09:07","18:28","",""
"Thanh Hoá","175","09:47","19:07","22:50","01:16"
"Minh Khôi","197","10:14","19:34","",""
"Chợ Sy","279","11:34","20:54","",""
"Vinh","319","12:21","21:42","01:22","03:38"
"Yên Trung","340","12:48","22:09","","04:05"
"Hương Phố","387","13:45","23:34","","05:02"
"Đồng Lê","436","14:51","00:40 (ngày +1)","03:42","06:07"
"Minh Lệ","482","15:49"," ","",""
"Đồng Hới","522","16:47","02:31 (ngày +1)","05:33","07:55"
"Mỹ Đức","551","17:24"," ","",""
"Mỹ Trạch","565","17:46"," ","",""
"Đông Hà","622","18:59","04:18 (ngày +1)","07:15","09:35"
"Huế","688","20:16","05:35 (ngày +1)","08:31","10:50"
"Đà Nẵng","791","23:12","08:47 (ngày +1)","11:28","13:43"
"Trà Kiệu","825"," ","09:51 (ngày +1)","12:18",""
"Tam Kỳ","865","00:49 (ngày +1)","10:48 (ngày +1)","13:08","15:03"
"Núi Thành","890"," ","11:20 (ngày +1)","",""
"Quảng Ngãi","928","02:01 (ngày +1)","12:14 (ngày +1)","14:21","16:10"
"Đức Phổ","968"," ","13:01 (ngày +1)","",""
"Bồng Sơn","1017"," ","13:53 (ngày +1)","15:56",""
"Diêu Trì","1096","05:13 (ngày +1)","15:29 (ngày +1)","17:34","19:03"
"Tuy Hoà","1198","07:27 (ngày +1)","17:19 (ngày +1)","19:20","20:45"
"Giã","1254","08:44 (ngày +1)","18:29 (ngày +1)","",""
"Ninh Hoà","1281","09:13 (ngày +1)","18:58 (ngày +1)","",""
"Nha Trang","1315","09:54 (ngày +1)","19:40 (ngày +1)","21:32","22:52"
"Tháp Chàm","1408","11:26 (ngày +1)","21:14 (ngày +1)","23:16","00:23"
"Sông Mao","1484"," ","22:46 (ngày +1)","",""
"Bình Thuận","1551","14:17 (ngày +1)","00:23 (ngày +2)","01:58","03:11"
"Suối Kiết","1603","15:20 (ngày +1)"," ","",""
"Long Khánh","1649","16:09 (ngày +1)","02:28 (ngày +2)","03:46",""
"Biên Hòa","1697","17:13 (ngày +1)","03:36 (ngày +2)","04:52","05:45"
"Dĩ An","1707","17:28 (ngày +1)","03:52 (ngày +2)","05:07","06:00"
"Sài Gòn","1726","17:58 (ngày +1)","04:25 (ngày +2)","05:40","06:30"
